symbol,description,sector,value,profit_loss,percent_change
LNC,LINCOLN NATIONAL CORP,Financials,46.777340308481655,0.5325883908197939,1.138560652032679
LOW,LOWE'S COS INC,Consumer Cyclicals,36.6343049511544,6.504861922168477,17.756204002891828
LTC,LTC PROPERTIES INC,Real Estate,46.31700520446299,-3.040189425992308,-6.563873058224765
LUMN,LUMEN TECHNOLOGIES INC,Technology,48.06602862932215,-39.69697519633545,-82.58842331758349
LYB,LYONDELLBASELL INDU-CL A,Basic Materials,41.52062910458764,0.9302932429961998,2.2405567137551174
MAIN,MAIN STREET CAPITAL CORP,Financials,9.533805432610208,0.459505081120617,4.819744690287974
MCD,MC DONALD'S-CORP,Consumer Cyclicals,20.65333313496842,3.159927455602283,15.299842572394137
MELI,MERCADOLIBRE INC,Technology,106.15320588695221,31.922410866813514,30.072017703176357
MMM,3M CO,Consumer Non-Cyc,69.71595222596216,-16.817477977659724,-24.12285487136603
MO,ALTRIA GROUP INC,Consumer Non-Cyc,76.65473718022953,-7.293453876249318,-9.514681211548679
MORF,MORPHIC HOLDING INC,Healthcare,83.88708870748373,82.22761002489038,98.02177103990343
MOS,MOSAIC CO/THE,Basic Materials,69.03959505967168,-13.443202270472224,-19.471728156651437
MP,MP MATERIALS CORP,Basic Materials,72.57959729567904,-0.5341603413165819,-0.7359648733520634
MPLX,MPLX LP,Energy,28.93104413098808,3.733041060586643,12.90323654993211
MPW,MEDICAL PROPERTIES TRUST INC,Real Estate,53.240607484492564,-26.082478498830138,-48.98982136225099
MRK,MERCK & CO INC,Healthcare,39.542648749839934,5.330894328345319,13.481378958881448
MSFT,MICROSOFT CORP,Technology,46.85828750013192,10.29353791723776,21.967379659806774
NEE,NEXTERA ENERGY INC,Utilities,18.24027074434047,-2.4794711049165086,-13.593389811309848
NHI,NATL HEALTH INVESTORS INC,Real Estate,16.34855220547079,-2.2533043183353003,-13.782898265335488
NSA,NATIONAL STORAGE AFFILIATES,Real Estate,34.10690587395448,-7.5131373993980635,-22.02819988175891
NWL,NEWELL BRANDS INC,Consumer Cyclicals,21.065127729075755,3.009665781275782,14.287431911089735
NWN,NORTHWEST NATURAL HOLDING CO,Utilities,24.437813591408798,-5.951565630058247,-24.35392023839048
NXPI,NXP SEMICONDUCTORS NV,Technology,82.49071764814612,0.8143997473070033,0.9872622890501741
NYCB,NEW YORK COMMUNITY BANCORP,Financials,29.973263828227118,9.862329321548378,32.90375508676034
O,REALTY INCOME CORP,Real Estate,34.13907579957657,-2.5211222871251837,-7.384858049251743
OKE,ONEOK INC,Energy,27.89391606675046,-0.8734359862358463,-3.131277745819927
